"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03018";"BOA VISTA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03018";"BOA VISTA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03050";"ALTO ALEGRE";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03069";"CANTÁ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03115";"NORMANDIA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03115";"NORMANDIA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03115";"NORMANDIA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03123";"PACARAIMA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03123";"PACARAIMA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03123";"PACARAIMA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03131";"SÃO JOÃO DA BALIZA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03131";"SÃO JOÃO DA BALIZA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03158";"SÃO LUIZ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"RR";"03158";"SÃO LUIZ";"13";"Vereador";"9"
