"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01082";"RODRIGUES ALVES";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01082";"RODRIGUES ALVES";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01090";"MÂNCIO LIMA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01090";"MÂNCIO LIMA";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01120";"ACRELÂNDIA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01120";"ACRELÂNDIA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01511";"PLÁCIDO DE CASTRO";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01511";"PLÁCIDO DE CASTRO";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01538";"SENADOR GUIOMARD";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01538";"SENADOR GUIOMARD";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01007";"BUJARI";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01007";"BUJARI";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01023";"PORTO ACRE";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01023";"PORTO ACRE";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01392";"RIO BRANCO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01392";"RIO BRANCO";"13";"Vereador";"17"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01058";"BRASILÉIA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01058";"BRASILÉIA";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01112";"EPITACIOLÂNDIA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01112";"EPITACIOLÂNDIA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01570";"ASSIS BRASIL";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01570";"ASSIS BRASIL";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01104";"JORDÃO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01104";"JORDÃO";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01473";"TARAUACÁ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01473";"TARAUACÁ";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01040";"MARECHAL THAUMATURGO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01040";"MARECHAL THAUMATURGO";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01031";"SANTA ROSA DO PURUS";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01031";"SANTA ROSA DO PURUS";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01457";"SENA MADUREIRA";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01457";"SENA MADUREIRA";"13";"Vereador";"13"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01554";"MANOEL URBANO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01554";"MANOEL URBANO";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01139";"FEIJÓ";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AC";"01139";"FEIJÓ";"13";"Vereador";"13"
