"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06068";"CUTIAS";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06076";"MAZAGÃO";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06084";"PEDRA BRANCA DO AMAPARI";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06084";"PEDRA BRANCA DO AMAPARI";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06092";"OIAPOQUE";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06106";"SERRA DO NAVIO";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06122";"VITÓRIA DO JARI";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06157";"SANTANA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06173";"TARTARUGALZINHO";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06009";"PRACUÚBA";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06009";"PRACUÚBA";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06041";"ITAUBAL";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06050";"MACAPÁ";"13";"Vereador";"23"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06068";"CUTIAS";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06076";"MAZAGÃO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06076";"MAZAGÃO";"13";"Vereador";"11"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06084";"PEDRA BRANCA DO AMAPARI";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06106";"SERRA DO NAVIO";"11";"Prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06114";"FERREIRA GOMES";"12";"Vice-prefeito";"1"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06114";"FERREIRA GOMES";"13";"Vereador";"9"
"08/06/2021";"07:20:40";"2020";"2";"Eleição Ordinária";"426";"Eleições Municipais 2020";"15/11/2020";"01/01/2021";"AP";"06122";"VITÓRIA DO JARI";"13";"Vereador";"9"
